,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.263381,0.25843,0.240817,0.237372
0.1,0.28628,0.274313,0.224621,0.214786
0.2,0.304882,0.292086,0.20883,0.194201
0.3,0.318413,0.307624,0.196117,0.177846
0.4,0.328764,0.319668,0.187529,0.164038
0.5,0.333926,0.331662,0.183501,0.150911
0.6,0.335341,0.346923,0.177177,0.14056
0.7,0.333806,0.363052,0.173544,0.129598
0.8,0.331952,0.375938,0.17357,0.11854
0.9,0.330662,0.386085,0.175548,0.107705
1.0,0.32596,0.400772,0.172955,0.100313
1.1,0.31824,0.416236,0.173168,0.092356
1.2,0.310782,0.427829,0.174754,0.086635
1.3,0.30326,0.437389,0.179496,0.079854
1.4,0.29878,0.441843,0.183839,0.075538
1.5,0.289956,0.448085,0.189345,0.072614
1.6,0.279808,0.45397,0.196074,0.070147
1.7,0.270469,0.456936,0.20529,0.067304
1.8,0.257999,0.460631,0.215942,0.065429
1.9,0.248716,0.463232,0.222893,0.065159
2.0,0.239877,0.463709,0.232055,0.064358
2.1,0.232903,0.460647,0.242011,0.064439
2.2,0.22615,0.458378,0.250805,0.064667
2.3,0.220478,0.455253,0.260774,0.063495
2.4,0.215396,0.450501,0.27241,0.061693
2.5,0.209854,0.446477,0.283033,0.060637
2.6,0.203944,0.44198,0.294435,0.059641
2.7,0.197506,0.43894,0.304168,0.059385
2.8,0.191854,0.434356,0.313741,0.060049
2.9,0.187598,0.430357,0.322952,0.059094
3.0,0.182983,0.426163,0.332471,0.058383
3.1,0.179033,0.417608,0.345186,0.058172
3.2,0.175541,0.409995,0.356063,0.058401
3.3,0.171596,0.406025,0.364039,0.05834
3.4,0.167786,0.399633,0.373882,0.058699
3.5,0.166828,0.390683,0.383434,0.059055
3.6,0.163177,0.382705,0.393556,0.060562
3.7,0.160169,0.376679,0.400413,0.062739
3.8,0.157243,0.371353,0.408017,0.063388
3.9,0.15455,0.364315,0.4162,0.064935
4.0,0.152371,0.356365,0.424424,0.06684
4.1,0.148263,0.350132,0.432729,0.068875
4.2,0.14561,0.342247,0.441023,0.071119
4.3,0.144346,0.334373,0.449137,0.072145
4.4,0.140797,0.328435,0.456841,0.073927
4.5,0.137497,0.322909,0.463592,0.076002
4.6,0.134485,0.318157,0.469416,0.077943
4.7,0.132533,0.312695,0.474912,0.079861
4.8,0.129968,0.307612,0.479785,0.082634
4.9,0.128369,0.302643,0.485308,0.08368
5.0,0.126817,0.29594,0.492109,0.085134
5.1,0.124101,0.291135,0.497436,0.087328
5.2,0.121058,0.28546,0.503465,0.090017
5.3,0.117808,0.280789,0.509118,0.092285
5.4,0.114986,0.275308,0.515245,0.094461
5.5,0.11374,0.270238,0.519927,0.096095
5.6,0.111964,0.266488,0.523689,0.097858
5.7,0.109872,0.263884,0.526591,0.099653
5.8,0.108533,0.260175,0.530626,0.100666
5.9,0.106481,0.256011,0.534428,0.10308
6.0,0.104514,0.25029,0.54041,0.104786
6.1,0.102956,0.247028,0.543396,0.10662
6.2,0.10124,0.244237,0.54678,0.107743
6.3,0.09987,0.240347,0.550405,0.109378
6.4,0.098683,0.236968,0.553796,0.110553
6.5,0.097141,0.234339,0.556253,0.112267
6.6,0.096222,0.229318,0.560504,0.113955
6.7,0.095321,0.224178,0.565468,0.115032
6.8,0.093245,0.220795,0.568877,0.117083
6.9,0.091564,0.216032,0.572884,0.11952
7.0,0.09057,0.211745,0.57657,0.121116
7.1,0.089466,0.208885,0.579365,0.122284
7.2,0.088125,0.206463,0.581591,0.12382
7.3,0.087137,0.204857,0.5826,0.125405
7.4,0.08607,0.201302,0.585875,0.126752
7.5,0.085133,0.197385,0.589319,0.128163
7.6,0.083726,0.194907,0.591652,0.129715
7.7,0.08313,0.192131,0.593526,0.131213
7.8,0.08218,0.190997,0.594494,0.132329
7.9,0.080902,0.188925,0.596687,0.133486
8.0,0.08033,0.188044,0.597454,0.134173
8.1,0.079697,0.18567,0.59972,0.134912
8.2,0.078403,0.18348,0.60172,0.136397
8.3,0.077084,0.181247,0.603942,0.137727
8.4,0.07618,0.177844,0.606969,0.139006
8.5,0.074915,0.175607,0.609191,0.140288
8.6,0.074578,0.172513,0.611925,0.140983
8.7,0.073893,0.170806,0.613536,0.141764
8.8,0.072948,0.169017,0.615146,0.142889
8.9,0.072997,0.167123,0.616795,0.143085
9.0,0.072568,0.165629,0.61821,0.143592
9.1,0.0722,0.164147,0.619262,0.144391
9.2,0.071892,0.163031,0.620138,0.144939
9.3,0.071188,0.162761,0.620239,0.145812
9.4,0.071,0.161219,0.621862,0.14592
9.5,0.070921,0.159893,0.623307,0.145879
9.6,0.070207,0.157951,0.625141,0.146701
9.7,0.069919,0.156335,0.626674,0.147072
9.8,0.069884,0.155073,0.627774,0.147268
9.9,0.069776,0.154052,0.628423,0.147749
10.0,0.06961,0.152363,0.630037,0.14799
10.1,0.068931,0.150191,0.632209,0.148669
10.2,0.06797,0.14917,0.633337,0.149522
10.3,0.066984,0.147684,0.634916,0.150416
10.4,0.066289,0.146034,0.636566,0.151111
10.5,0.065912,0.145266,0.637334,0.151488
