,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
13.2,0.0502,0.085,0.6792,0.1856
13.3,0.0502,0.085,0.6792,0.1856
13.4,0.0502,0.085111,0.679089,0.1856
13.5,0.0502,0.085115,0.679085,0.1856
13.6,0.0502,0.0848,0.6794,0.1856
13.7,0.0502,0.0848,0.6794,0.1856
13.8,0.0502,0.0848,0.6794,0.1856
13.9,0.0502,0.0848,0.6794,0.1856
14.0,0.0502,0.0848,0.6794,0.1856
14.1,0.0502,0.0848,0.6794,0.1856
14.2,0.0502,0.0848,0.6794,0.1856
14.3,0.0502,0.0848,0.6794,0.1856
14.4,0.0502,0.0848,0.6794,0.1856
14.5,0.0502,0.0848,0.6794,0.1856
14.6,0.0502,0.0848,0.6794,0.1856
14.7,0.0502,0.0848,0.6794,0.1856
14.8,0.0502,0.0848,0.6794,0.1856
14.9,0.0502,0.0848,0.6794,0.1856
15.0,0.0502,0.084828,0.679372,0.1856
15.1,0.0502,0.084863,0.679337,0.1856
15.2,0.0502,0.0848,0.6794,0.1856
15.3,0.0502,0.0848,0.6794,0.1856
15.4,0.0502,0.0848,0.6794,0.1856
15.5,0.0502,0.0848,0.6794,0.1856
15.6,0.0502,0.0848,0.6794,0.1856
15.7,0.0502,0.0848,0.6794,0.1856
15.8,0.0502,0.0848,0.6794,0.1856
15.9,0.0502,0.0848,0.6794,0.1856
16.0,0.0502,0.084902,0.679298,0.1856
16.1,0.0502,0.085,0.6792,0.1856
16.2,0.0502,0.085,0.6792,0.1856
16.3,0.0502,0.085,0.6792,0.1856
16.4,0.0502,0.085,0.6792,0.1856
16.5,0.050366,0.084834,0.6792,0.1856
16.6,0.0504,0.0848,0.6792,0.1856
16.7,0.0504,0.0848,0.679292,0.185508
16.8,0.0504,0.0848,0.6794,0.1854
16.9,0.0504,0.0848,0.6794,0.1854
17.0,0.0504,0.0848,0.6794,0.1854
17.1,0.050556,0.084644,0.6794,0.1854
17.2,0.0506,0.0846,0.6794,0.1854
17.3,0.0506,0.0846,0.6794,0.1854
17.4,0.050638,0.084562,0.6794,0.1854
17.5,0.0508,0.0844,0.6794,0.1854
17.6,0.0508,0.0844,0.6794,0.1854
17.7,0.0508,0.084454,0.679346,0.1854
17.8,0.0508,0.084705,0.679095,0.1854
17.9,0.0508,0.0848,0.679,0.1854
18.0,0.0508,0.0848,0.679,0.1854
18.1,0.0508,0.0848,0.679,0.1854
18.2,0.0508,0.0848,0.679,0.1854
18.3,0.0508,0.084956,0.678844,0.1854
18.4,0.0508,0.085,0.6788,0.1854
18.5,0.0508,0.085,0.678776,0.185424
18.6,0.0508,0.085,0.6786,0.1856
18.7,0.0508,0.085,0.6786,0.1856
18.8,0.0508,0.085,0.6786,0.1856
18.9,0.0508,0.085,0.6786,0.1856
19.0,0.0508,0.085,0.6786,0.1856
19.1,0.050947,0.084956,0.6786,0.185497
19.2,0.0512,0.0848,0.6786,0.1854
19.3,0.0512,0.0848,0.6786,0.1854
19.4,0.0512,0.0848,0.6786,0.1854
19.5,0.0512,0.0848,0.6786,0.1854
19.6,0.0512,0.0848,0.6786,0.1854
19.7,0.0512,0.0848,0.6786,0.1854
19.8,0.0512,0.084887,0.678513,0.1854
19.9,0.0512,0.085,0.6784,0.1854
20.0,0.0512,0.085138,0.678262,0.1854
20.1,0.0512,0.0852,0.6782,0.1854
20.2,0.0512,0.0852,0.6782,0.1854
20.3,0.0512,0.0852,0.6782,0.1854
20.4,0.0512,0.0852,0.6782,0.1854
20.5,0.0512,0.085293,0.678107,0.1854
20.6,0.0512,0.0854,0.678,0.1854
20.7,0.0512,0.085501,0.677899,0.1854
20.8,0.051391,0.085409,0.6778,0.1854
20.9,0.0514,0.0854,0.6778,0.1854
21.0,0.0514,0.0854,0.6778,0.1854
21.1,0.0514,0.085426,0.677774,0.1854
21.2,0.0514,0.085712,0.677488,0.1854
21.3,0.0514,0.0858,0.6774,0.1854
21.4,0.0514,0.0858,0.6774,0.1854
21.5,0.051727,0.085473,0.6774,0.1854
21.6,0.0518,0.0854,0.6774,0.1854
21.7,0.0518,0.0854,0.6774,0.1854
21.8,0.0518,0.0854,0.6774,0.1854
21.9,0.0518,0.0854,0.6774,0.1854
22.0,0.0518,0.0854,0.6774,0.1854
22.1,0.0518,0.0854,0.6774,0.1854
22.2,0.0518,0.0854,0.6774,0.1854
22.3,0.0518,0.0854,0.6774,0.1854
22.4,0.0518,0.0854,0.6774,0.1854
22.5,0.051878,0.085322,0.6774,0.1854
22.6,0.052,0.0852,0.6774,0.1854
22.7,0.052,0.0852,0.6774,0.1854
22.8,0.052,0.0852,0.6774,0.1854
22.9,0.052049,0.085151,0.6774,0.1854
23.0,0.0522,0.085,0.6774,0.1854
23.1,0.0522,0.085,0.6774,0.1854
23.2,0.0522,0.085,0.6774,0.1854
23.3,0.0522,0.085,0.6774,0.1854
23.4,0.0522,0.085,0.6774,0.1854
23.5,0.0522,0.085,0.6774,0.1854
23.6,0.0522,0.085,0.6774,0.1854
23.7,0.0522,0.085,0.6774,0.1854
23.8,0.0522,0.085,0.6774,0.1854
23.9,0.0522,0.085,0.6774,0.1854
24.0,0.0522,0.085,0.6774,0.1854
24.1,0.0522,0.085,0.6774,0.1854
24.2,0.0522,0.085,0.6774,0.1854
24.3,0.0522,0.085134,0.677266,0.1854
24.4,0.0522,0.085256,0.677144,0.1854
24.5,0.052288,0.085595,0.676805,0.185312
24.6,0.0524,0.0856,0.6768,0.1852
24.7,0.0524,0.0856,0.6768,0.1852
24.8,0.0524,0.0856,0.6768,0.1852
24.9,0.0524,0.0856,0.6768,0.1852
