,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
13.2,0.053312,0.093969,0.668755,0.183963
13.3,0.053366,0.093651,0.668949,0.184034
13.4,0.0532,0.093288,0.669312,0.1842
13.5,0.053087,0.092906,0.669883,0.184125
13.6,0.052679,0.09258,0.67022,0.184521
13.7,0.052348,0.092233,0.670567,0.184852
13.8,0.0522,0.091573,0.671227,0.185
13.9,0.051925,0.091027,0.671773,0.185275
14.0,0.0518,0.09079,0.67201,0.1854
14.1,0.051609,0.090443,0.672357,0.185591
14.2,0.0516,0.090322,0.672478,0.1856
14.3,0.0516,0.089946,0.672854,0.1856
14.4,0.051745,0.089455,0.673201,0.1856
14.5,0.0518,0.089134,0.673466,0.1856
14.6,0.051606,0.088894,0.673889,0.185611
14.7,0.051297,0.088694,0.674106,0.185903
14.8,0.0512,0.088721,0.674079,0.186
14.9,0.0512,0.0886,0.6742,0.186
15.0,0.0512,0.0886,0.6742,0.186
15.1,0.0512,0.0886,0.6742,0.186
15.2,0.051203,0.088414,0.674383,0.186
15.3,0.051261,0.0882,0.6744,0.186139
15.4,0.051073,0.0882,0.6744,0.186327
15.5,0.0508,0.0882,0.6744,0.1866
15.6,0.050828,0.088082,0.6744,0.18669
15.7,0.0508,0.088152,0.674248,0.1868
15.8,0.0508,0.088044,0.674356,0.1868
15.9,0.050524,0.088,0.6744,0.187076
16.0,0.0502,0.088,0.6744,0.1874
16.1,0.0502,0.087801,0.674599,0.1874
16.2,0.050013,0.08775,0.67465,0.187587
16.3,0.05002,0.087571,0.674691,0.187718
16.4,0.05,0.0872,0.675,0.1878
16.5,0.050077,0.087123,0.675,0.1878
16.6,0.0502,0.086823,0.675177,0.1878
16.7,0.0502,0.086386,0.675614,0.1878
16.8,0.0502,0.0862,0.6758,0.1878
16.9,0.05006,0.0862,0.6758,0.18794
17.0,0.049972,0.086398,0.675602,0.188028
17.1,0.049495,0.0866,0.6754,0.188505
17.2,0.0494,0.0866,0.6754,0.1886
17.3,0.0494,0.0866,0.6754,0.1886
17.4,0.0494,0.086408,0.675592,0.1886
17.5,0.0494,0.086175,0.675825,0.1886
17.6,0.0494,0.085919,0.676081,0.1886
17.7,0.0494,0.0858,0.6762,0.1886
17.8,0.0494,0.0858,0.6762,0.1886
17.9,0.0494,0.0858,0.6762,0.1886
18.0,0.049291,0.085996,0.676004,0.188709
18.1,0.0492,0.086,0.676,0.1888
18.2,0.049085,0.086,0.676,0.188915
18.3,0.049,0.086,0.676,0.189
18.4,0.049,0.086,0.676,0.189
18.5,0.049,0.086,0.676,0.189
18.6,0.049,0.086,0.676,0.189
18.7,0.049,0.086,0.676,0.189
18.8,0.049,0.085812,0.676188,0.189
18.9,0.049,0.0858,0.6762,0.189
19.0,0.049,0.0858,0.6762,0.189
19.1,0.049006,0.085794,0.6762,0.189
19.2,0.0492,0.085321,0.676479,0.189
19.3,0.0492,0.085289,0.676511,0.189
19.4,0.049002,0.0854,0.6764,0.189198
19.5,0.049,0.0854,0.6764,0.1892
19.6,0.049049,0.085351,0.6764,0.1892
19.7,0.0492,0.085356,0.676244,0.1892
19.8,0.049168,0.085463,0.676137,0.189232
19.9,0.049,0.0854,0.6762,0.1894
20.0,0.049,0.0854,0.6762,0.1894
20.1,0.049012,0.085207,0.676381,0.1894
20.2,0.0492,0.085158,0.676242,0.1894
20.3,0.0492,0.0852,0.6762,0.1894
20.4,0.049,0.0852,0.6762,0.1896
20.5,0.049,0.085275,0.676125,0.1896
20.6,0.049,0.0854,0.676,0.1896
20.7,0.049,0.0854,0.676,0.1896
20.8,0.049136,0.085264,0.676,0.1896
20.9,0.0492,0.0852,0.676,0.1896
21.0,0.049182,0.085227,0.675973,0.189618
21.1,0.0488,0.0854,0.6758,0.19
21.2,0.0488,0.0854,0.6758,0.19
21.3,0.0488,0.0854,0.6758,0.19
21.4,0.048983,0.085229,0.675971,0.189817
21.5,0.048859,0.0852,0.676,0.189941
21.6,0.0488,0.0852,0.676,0.19
21.7,0.0488,0.085,0.6762,0.19
21.8,0.0488,0.085068,0.676132,0.19
21.9,0.0488,0.0852,0.676,0.19
22.0,0.0488,0.0852,0.676,0.19
22.1,0.0488,0.0852,0.676,0.19
22.2,0.048906,0.085094,0.676,0.19
22.3,0.048912,0.085,0.676,0.190088
22.4,0.0488,0.085,0.676,0.1902
22.5,0.0488,0.085,0.676,0.1902
22.6,0.0488,0.085,0.676,0.1902
22.7,0.0488,0.085,0.676,0.1902
22.8,0.0488,0.085,0.676,0.1902
22.9,0.0488,0.085053,0.675947,0.1902
23.0,0.0488,0.0852,0.6758,0.1902
23.1,0.0488,0.0852,0.6758,0.1902
23.2,0.0488,0.085278,0.675722,0.1902
23.3,0.0488,0.085276,0.675724,0.1902
23.4,0.0488,0.085118,0.675882,0.1902
23.5,0.0488,0.085,0.676,0.1902
23.6,0.0488,0.085,0.676,0.1902
23.7,0.048956,0.085,0.676,0.190044
23.8,0.049,0.085,0.676,0.19
23.9,0.049,0.085,0.676,0.19
24.0,0.049,0.085173,0.675827,0.19
24.1,0.049,0.0852,0.6758,0.19
24.2,0.049,0.0852,0.6758,0.19
24.3,0.049,0.0852,0.6758,0.19
24.4,0.049,0.0852,0.6758,0.19
24.5,0.049,0.0852,0.6758,0.19
24.6,0.049145,0.085055,0.6758,0.19
24.7,0.0492,0.085,0.6758,0.19
24.8,0.0492,0.085,0.675651,0.190149
24.9,0.0492,0.085,0.6756,0.1902
25.0,0.0492,0.085,0.6756,0.1902
25.1,0.0492,0.084998,0.675602,0.1902
25.2,0.0492,0.08463,0.67597,0.1902
25.3,0.0492,0.0846,0.676,0.1902
25.4,0.049292,0.084508,0.676,0.1902
25.5,0.0494,0.084487,0.675913,0.1902
25.6,0.0494,0.0846,0.6758,0.1902
25.7,0.049286,0.0846,0.6758,0.190314
25.8,0.0492,0.0846,0.6758,0.1904
25.9,0.0492,0.0846,0.6758,0.1904
26.0,0.0492,0.084682,0.675718,0.1904
26.1,0.0492,0.084699,0.675701,0.1904
26.2,0.0492,0.0846,0.6758,0.1904
26.3,0.0492,0.0846,0.6758,0.1904
26.4,0.0492,0.08467,0.67573,0.1904
26.5,0.0492,0.08489,0.67551,0.1904
26.6,0.0492,0.085,0.6754,0.1904
26.7,0.0492,0.085,0.6754,0.1904
26.8,0.049254,0.085,0.6754,0.190346
26.9,0.0494,0.085,0.6754,0.1902
27.0,0.0494,0.085,0.6754,0.1902
27.1,0.0494,0.085,0.6754,0.1902
27.2,0.0494,0.085,0.6754,0.1902
27.3,0.0494,0.085,0.6754,0.1902
27.4,0.049209,0.085,0.6754,0.190391
27.5,0.0492,0.085,0.6754,0.1904
27.6,0.0492,0.085,0.6754,0.1904
27.7,0.0492,0.085,0.6754,0.1904
27.8,0.0492,0.085,0.6754,0.1904
27.9,0.0492,0.085,0.6754,0.1904
28.0,0.049388,0.084812,0.6754,0.1904
28.1,0.0494,0.0848,0.6754,0.1904
28.2,0.0494,0.0848,0.6754,0.1904
28.3,0.0494,0.0848,0.6754,0.1904
28.4,0.0494,0.0848,0.6754,0.1904
28.5,0.0494,0.0848,0.6754,0.1904
28.6,0.049517,0.084683,0.6754,0.1904
28.7,0.0496,0.0846,0.6754,0.1904
28.8,0.0496,0.0846,0.6754,0.1904
28.9,0.0496,0.0846,0.6754,0.1904
29.0,0.0496,0.0846,0.6754,0.1904
29.1,0.0496,0.0846,0.6754,0.1904
29.2,0.0496,0.0846,0.6754,0.1904
29.3,0.0496,0.0846,0.6754,0.1904
29.4,0.0496,0.0846,0.6754,0.1904
29.5,0.0496,0.0846,0.675248,0.190552
29.6,0.0496,0.084748,0.675052,0.1906
29.7,0.0496,0.084823,0.674977,0.1906
29.8,0.0496,0.0848,0.675,0.1906
