,<nil>,Apoptosis,Metastasis,Metastasis -- Apoptosis,Proliferation,Proliferation -- Apoptosis,Proliferation -- Metastasis,Proliferation -- Metastasis -- Apoptosis
7.1,0.835157,0.095785,0.024707,0.001646,0.040871,0.0006,0.001234,0.0
7.2,0.838523,0.093874,0.023629,0.001947,0.040418,0.0006,0.001009,0.0
7.3,0.839823,0.092255,0.023488,0.0016,0.041129,0.000706,0.001,0.0
7.4,0.841429,0.090902,0.023209,0.001754,0.040906,0.0008,0.001,0.0
7.5,0.844045,0.089713,0.022311,0.001933,0.040156,0.0008,0.001042,0.0
7.6,0.844933,0.089271,0.021833,0.001702,0.04026,0.0008,0.0012,0.0
7.7,0.846664,0.087787,0.021367,0.0018,0.040546,0.000635,0.0012,0.0
7.8,0.847919,0.087476,0.020941,0.001654,0.040171,0.0006,0.001239,0.0
7.9,0.849166,0.087367,0.020436,0.001256,0.039884,0.000491,0.0014,0.0
8.0,0.851452,0.086344,0.020303,0.000733,0.039368,0.0004,0.0014,0.0
8.1,0.854268,0.085286,0.019267,0.000735,0.038644,0.0004,0.0014,0.0
8.2,0.856916,0.08425,0.01822,0.000839,0.03805,0.0004,0.001325,0.0
8.3,0.858267,0.083691,0.018015,0.0008,0.037633,0.0004,0.001195,0.0
8.4,0.859037,0.083558,0.017792,0.000632,0.037529,0.0004,0.001053,0.0
8.5,0.86109,0.082305,0.017541,0.000701,0.036623,0.000541,0.0012,0.0
8.6,0.863081,0.08037,0.017106,0.000789,0.036855,0.0006,0.0012,0.0
8.7,0.866528,0.077535,0.016526,0.0008,0.036883,0.0006,0.001128,0.0
8.8,0.869324,0.075243,0.01577,0.000997,0.037066,0.0006,0.001,0.0
8.9,0.870946,0.074158,0.015058,0.001,0.037237,0.0006,0.001,0.0
9.0,0.87291,0.072633,0.01479,0.001,0.037216,0.0006,0.00085,0.0
9.1,0.874042,0.072084,0.014455,0.001,0.037019,0.0006,0.0008,0.0
9.2,0.876169,0.071421,0.013083,0.000988,0.037089,0.0006,0.00065,0.0
9.3,0.877143,0.070271,0.013023,0.000871,0.037492,0.0006,0.0006,0.0
9.4,0.879225,0.068827,0.012682,0.0008,0.037202,0.0006,0.000664,0.0
9.5,0.881611,0.067754,0.011833,0.000771,0.036501,0.000568,0.000961,0.0
9.6,0.884829,0.065569,0.012102,0.000534,0.035431,0.0004,0.001135,0.0
9.7,0.88551,0.065069,0.011989,0.0004,0.035437,0.0004,0.001194,0.0
9.8,0.887085,0.064208,0.01197,0.0004,0.034994,0.0004,0.000943,0.0
9.9,0.888992,0.063361,0.011516,0.0004,0.034531,0.0004,0.0008,0.0
10.0,0.890679,0.062973,0.011002,0.00041,0.033735,0.0004,0.0008,0.0
10.1,0.891378,0.062017,0.010779,0.0006,0.034177,0.0004,0.000649,0.0
10.2,0.891271,0.062592,0.010519,0.000531,0.034087,0.0004,0.0006,0.0
10.3,0.892526,0.062229,0.010188,0.00068,0.033376,0.0004,0.0006,0.0
10.4,0.893642,0.061109,0.010144,0.000716,0.033385,0.0004,0.00052,8.4e-05
10.5,0.893537,0.060788,0.010604,0.0006,0.033471,0.0004,0.0004,0.0002
10.6,0.894126,0.060292,0.010724,0.000792,0.033066,0.0004,0.0004,0.0002
10.7,0.894604,0.06058,0.010217,0.001014,0.032585,0.0004,0.0004,0.0002
10.8,0.894884,0.060937,0.009657,0.000889,0.032633,0.0004,0.000412,0.000188
10.9,0.895519,0.060797,0.009417,0.000657,0.032695,0.0004,0.000514,0.0
11.0,0.897553,0.059894,0.008586,0.0006,0.032567,0.0004,0.0004,0.0
11.1,0.898565,0.058759,0.007985,0.000762,0.033128,0.0004,0.0004,0.0
11.2,0.899211,0.057545,0.008108,0.0008,0.033399,0.0004,0.000537,0.0
11.3,0.898039,0.058065,0.008257,0.000616,0.033745,0.0004,0.000878,0.0
11.4,0.89858,0.057253,0.008491,0.0006,0.033868,0.000208,0.001,0.0
11.5,0.899936,0.056044,0.008437,0.000539,0.033695,0.0002,0.001148,0.0
11.6,0.900259,0.05592,0.008372,0.00028,0.033961,0.0002,0.001009,0.0
11.7,0.902085,0.05486,0.008406,0.0,0.033575,0.0002,0.000874,0.0
11.8,0.902955,0.055048,0.008328,0.0,0.032669,0.0002,0.0008,0.0
11.9,0.903811,0.054424,0.008016,0.000126,0.032624,0.0002,0.0008,0.0
12.0,0.90478,0.053114,0.0082,0.0002,0.032802,0.0002,0.000704,0.0
12.1,0.905355,0.052932,0.007857,0.0002,0.032855,0.0002,0.0006,0.0
12.2,0.904852,0.053304,0.007778,0.0002,0.033151,0.000114,0.0006,0.0
12.3,0.904935,0.052469,0.008332,0.000384,0.033281,0.0,0.0006,0.0
12.4,0.906642,0.050698,0.007958,0.0004,0.033586,0.0,0.000715,0.0
12.5,0.909114,0.048492,0.00774,0.0004,0.033454,0.0,0.0008,0.0
12.6,0.911534,0.046632,0.007651,0.0004,0.032983,0.0,0.0008,0.0
12.7,0.912589,0.045694,0.007615,0.0004,0.032902,0.0,0.0008,0.0
12.8,0.911848,0.046276,0.007564,0.0004,0.033112,0.0,0.0008,0.0
12.9,0.911677,0.046072,0.007243,0.0004,0.033808,0.0,0.000801,0.0
13.0,0.912894,0.044373,0.007072,0.0004,0.034261,0.0,0.001,0.0
13.1,0.915003,0.042685,0.006839,0.0004,0.034258,0.0,0.000815,0.0
13.2,0.916034,0.041594,0.007052,0.000376,0.034155,0.0,0.000791,0.0
13.3,0.918075,0.039976,0.006919,0.0002,0.03403,0.0,0.0008,0.0
13.4,0.91786,0.04,0.006889,0.0002,0.034251,0.0,0.0008,0.0
13.5,0.918962,0.03836,0.007079,0.000392,0.034348,0.0,0.00086,0.0
13.6,0.920605,0.037708,0.006692,0.00027,0.033726,0.0,0.001,0.0
13.7,0.921342,0.037211,0.006366,0.0002,0.033881,0.0,0.001,0.0
13.8,0.92201,0.036234,0.0066,0.000229,0.033927,0.0,0.001,0.0
13.9,0.923517,0.034941,0.006478,0.000439,0.033625,0.0,0.001,0.0
14.0,0.924485,0.03439,0.006117,0.0004,0.0336,0.0,0.001008,0.0
14.1,0.925387,0.03388,0.005533,0.0004,0.0336,0.0,0.0012,0.0
14.2,0.925474,0.033734,0.0054,0.0004,0.033828,0.0,0.001164,0.0
14.3,0.925091,0.034023,0.00536,0.0004,0.034127,0.0,0.001,0.0
14.4,0.925303,0.033879,0.005104,0.0004,0.034313,0.0,0.001,0.0
14.5,0.926044,0.033185,0.0052,0.0004,0.034308,0.0,0.000863,0.0
14.6,0.927211,0.032189,0.0054,0.0004,0.034,0.0,0.0008,0.0
14.7,0.927605,0.031928,0.005205,0.000382,0.03408,0.0,0.0008,0.0
14.8,0.928361,0.031821,0.005088,0.0002,0.033737,0.0,0.000794,0.0
14.9,0.929207,0.031474,0.00485,0.0002,0.033669,0.0,0.0006,0.0
15.0,0.928906,0.03152,0.004817,0.000183,0.034242,0.0,0.000332,0.0
15.1,0.929292,0.030741,0.005,0.000186,0.034581,0.0,0.0002,0.0
15.2,0.929938,0.029963,0.004942,0.0004,0.034557,0.0,0.0002,0.0
15.3,0.930731,0.029561,0.004638,0.0004,0.034469,0.0,0.0002,0.0
15.4,0.931282,0.029478,0.003948,0.000492,0.0346,0.0,0.0002,0.0
15.5,0.931715,0.029035,0.003968,0.000284,0.034798,0.0,0.0002,0.0
15.6,0.931762,0.029072,0.004278,5.7e-05,0.034631,0.0,0.0002,0.0
15.7,0.932067,0.028815,0.004165,0.0,0.03479,0.0,0.000162,0.0
15.8,0.9333,0.027664,0.004036,0.0,0.034977,0.0,2.3e-05,0.0
15.9,0.934417,0.026815,0.003818,0.0,0.03475,0.0,0.0002,0.0
16.0,0.93532,0.025854,0.004018,8.7e-05,0.034521,0.0,0.0002,0.0
16.1,0.935834,0.025291,0.003873,0.000202,0.0346,0.0,0.0002,0.0
16.2,0.936553,0.024357,0.0038,0.000532,0.034558,0.0,0.0002,0.0
16.3,0.935873,0.024789,0.003738,0.0006,0.0348,0.0,0.0002,0.0
16.4,0.935687,0.025058,0.003677,0.000578,0.0348,0.0,0.0002,0.0
16.5,0.935895,0.024588,0.004116,0.0004,0.0348,0.0,0.0002,0.0
16.6,0.93676,0.023554,0.004129,0.0004,0.034957,0.0,0.0002,0.0
16.7,0.938251,0.022829,0.003684,0.00051,0.034527,0.0,0.0002,0.0
16.8,0.939673,0.021526,0.003722,0.000478,0.034401,0.0,0.0002,0.0
16.9,0.941151,0.020277,0.003658,0.000357,0.034358,0.0,0.0002,0.0
17.0,0.941774,0.019783,0.003699,0.0002,0.034528,0.0,1.5e-05,0.0
17.1,0.94168,0.020183,0.0034,0.0002,0.034537,0.0,0.0,0.0
17.2,0.941162,0.020855,0.003279,0.0002,0.034504,0.0,0.0,0.0
17.3,0.941796,0.020179,0.003164,0.0002,0.03466,0.0,0.0,0.0
17.4,0.942988,0.019151,0.002812,0.0002,0.034849,0.0,0.0,0.0
17.5,0.942965,0.019229,0.00279,0.0002,0.034817,0.0,0.0,0.0
17.6,0.943723,0.018916,0.002739,0.0002,0.034421,0.0,0.0,0.0
17.7,0.944584,0.018138,0.002832,0.0002,0.034246,0.0,0.0,0.0
17.8,0.945078,0.017582,0.003,0.0002,0.03414,0.0,0.0,0.0
17.9,0.94577,0.016883,0.003088,0.000259,0.034,0.0,0.0,0.0
18.0,0.946194,0.016423,0.002983,0.0004,0.034,0.0,0.0,0.0
18.1,0.946452,0.016505,0.002747,0.0004,0.033896,0.0,0.0,0.0
18.2,0.946588,0.016412,0.0026,0.0004,0.034,0.0,0.0,0.0
18.3,0.946945,0.016309,0.002513,0.000372,0.033862,0.0,0.0,0.0
18.4,0.946893,0.016683,0.002425,0.0002,0.0338,0.0,0.0,0.0
18.5,0.946803,0.016797,0.0024,0.0002,0.0338,0.0,0.0,0.0
18.6,0.947671,0.016455,0.002141,0.0002,0.033533,0.0,0.0,0.0
18.7,0.947838,0.01641,0.002152,0.0002,0.0334,0.0,0.0,0.0
18.8,0.947493,0.016495,0.002412,0.0002,0.0334,0.0,0.0,0.0
18.9,0.947648,0.015861,0.002891,0.0002,0.0334,0.0,0.0,0.0
19.0,0.947922,0.01542,0.002931,0.000269,0.033458,0.0,0.0,0.0
19.1,0.947814,0.015418,0.002768,0.0004,0.0336,0.0,0.0,0.0
19.2,0.948354,0.015215,0.0026,0.0004,0.033431,0.0,0.0,0.0
19.3,0.948138,0.015316,0.002653,0.000347,0.033546,0.0,0.0,0.0
19.4,0.948357,0.015243,0.0028,0.0002,0.0334,0.0,0.0,0.0
19.5,0.948703,0.014773,0.002735,0.0002,0.033589,0.0,0.0,0.0
19.6,0.948646,0.014954,0.0026,0.0002,0.0336,0.0,0.0,0.0
19.7,0.948939,0.014839,0.0026,0.0002,0.033422,0.0,0.0,0.0
19.8,0.949896,0.014102,0.002386,0.0002,0.033417,0.0,0.0,0.0
19.9,0.950486,0.013714,0.0022,0.0002,0.0334,0.0,0.0,0.0
20.0,0.950682,0.013686,0.002018,0.000214,0.0334,0.0,0.0,0.0
20.1,0.950383,0.013478,0.002,0.0004,0.033738,0.0,0.0,0.0
20.2,0.950258,0.013522,0.002019,0.0004,0.0338,0.0,0.0,0.0
20.3,0.950428,0.01306,0.0022,0.0004,0.033912,0.0,0.0,0.0
20.4,0.950368,0.013309,0.001925,0.000398,0.034,0.0,0.0,0.0
20.5,0.951093,0.01263,0.0018,0.0004,0.034077,0.0,0.0,0.0
