,<nil>,Apoptosis,Apoptosis -- Metastasis,Apoptosis -- Metastasis -- Proliferation,Apoptosis -- Proliferation,Metastasis,Metastasis -- Proliferation,Proliferation
7.1,0.811028,0.104122,0.001952,0.0,0.0006,0.026251,0.0038,0.052246
7.2,0.814937,0.101676,0.001947,0.0,0.00072,0.024948,0.003906,0.051865
7.3,0.819669,0.098042,0.00235,0.0,0.0008,0.023191,0.003878,0.05207
7.4,0.823472,0.096103,0.002349,0.0,0.000636,0.022466,0.003131,0.051844
7.5,0.825702,0.095047,0.00258,0.0,0.0006,0.021804,0.002885,0.051382
7.6,0.827797,0.093508,0.002224,0.0,0.0006,0.022192,0.002748,0.050931
7.7,0.829638,0.092706,0.001898,0.0,0.0006,0.020978,0.002799,0.051381
7.8,0.830473,0.091705,0.002,0.0,0.00064,0.020629,0.002685,0.051868
7.9,0.83307,0.089781,0.002,0.0,0.0008,0.02044,0.002737,0.051172
8.0,0.836096,0.088859,0.001578,0.0,0.0008,0.019885,0.002495,0.050287
8.1,0.838115,0.087606,0.0014,0.0,0.00074,0.019741,0.002391,0.050007
8.2,0.840907,0.086133,0.001617,0.0,0.0006,0.018787,0.002172,0.049785
8.3,0.842892,0.085256,0.001232,0.0,0.000541,0.018402,0.002078,0.049599
8.4,0.843793,0.084644,0.001,0.0,0.000371,0.018014,0.002348,0.04983
8.5,0.844807,0.084744,0.001,0.0,0.0004,0.017052,0.002205,0.049792
8.6,0.845511,0.084806,0.001,0.0,0.0004,0.016195,0.002136,0.049952
8.7,0.847794,0.084083,0.001058,0.0,0.0004,0.015678,0.001984,0.049002
8.8,0.850597,0.082665,0.001,0.0,0.0004,0.014586,0.00184,0.048912
8.9,0.852324,0.082125,0.001,0.0,0.000288,0.013675,0.001885,0.048703
9.0,0.853029,0.081366,0.001275,0.0,0.0002,0.013385,0.001852,0.048892
9.1,0.853738,0.080444,0.0014,0.0,0.0002,0.012987,0.001896,0.049335
9.2,0.852851,0.080749,0.001114,0.0,0.0002,0.012777,0.002076,0.050232
9.3,0.854431,0.079297,0.00107,0.0,0.0002,0.012159,0.002412,0.050432
9.4,0.85472,0.079068,0.001,0.0,0.0002,0.011798,0.002404,0.05081
9.5,0.857354,0.076752,0.000841,0.0,0.0002,0.011511,0.0024,0.050943
9.6,0.858974,0.075854,0.0008,0.0,0.0002,0.011391,0.0024,0.05038
9.7,0.859305,0.074943,0.001071,0.0,0.0002,0.011479,0.0024,0.050602
9.8,0.860132,0.074105,0.001199,0.0,0.000184,0.011373,0.002362,0.050644
9.9,0.860081,0.074077,0.0012,0.0,0.0,0.010766,0.002466,0.05141
10.0,0.86115,0.072461,0.001259,0.0,0.0,0.010515,0.0026,0.052014
10.1,0.861382,0.071736,0.001373,0.0,0.0,0.009836,0.002844,0.052828
10.2,0.862298,0.071085,0.0012,0.0,0.0,0.009457,0.002921,0.053039
10.3,0.861922,0.071742,0.000883,0.0,0.0,0.009742,0.002893,0.052818
10.4,0.864338,0.069911,0.0006,0.0,0.0,0.00964,0.003174,0.052337
10.5,0.865453,0.068921,0.000413,0.0,0.0,0.009654,0.003233,0.052326
10.6,0.865428,0.068291,9.3e-05,0.0,0.0,0.009954,0.003055,0.053179
10.7,0.867045,0.067585,0.0,0.0,0.0,0.009698,0.002916,0.052756
10.8,0.867714,0.066264,0.0,0.0,0.0,0.009891,0.002878,0.053252
10.9,0.868307,0.065258,0.0,0.0,0.0,0.010323,0.002709,0.053402
11.0,0.86949,0.064372,0.0,0.0,0.0,0.010233,0.002579,0.053326
11.1,0.870674,0.063012,0.0,0.0,0.0,0.010599,0.002226,0.053488
11.2,0.87065,0.062824,0.0,0.0,0.0,0.010678,0.002093,0.053755
11.3,0.873374,0.060422,0.000104,0.0,0.0,0.010622,0.002,0.053478
