,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
0.0,0.263101,0.259824,0.236505,0.24057
0.1,0.288348,0.277808,0.210136,0.223707
0.2,0.311426,0.290005,0.190813,0.207756
0.3,0.329568,0.304388,0.1735,0.192544
0.4,0.346629,0.314171,0.1625,0.1767
0.5,0.363959,0.322265,0.152039,0.161737
0.6,0.378641,0.329238,0.142645,0.149476
0.7,0.393919,0.333546,0.131946,0.14059
0.8,0.408566,0.339428,0.122799,0.129207
0.9,0.42289,0.338001,0.114845,0.124263
1.0,0.435313,0.336236,0.110851,0.117601
1.1,0.446105,0.333852,0.104858,0.115185
1.2,0.456514,0.330183,0.101133,0.11217
1.3,0.468618,0.324553,0.097593,0.109235
1.4,0.477702,0.318507,0.096334,0.107456
1.5,0.491497,0.307956,0.094487,0.10606
1.6,0.502721,0.298019,0.092587,0.106673
1.7,0.512622,0.290037,0.090341,0.107
1.8,0.523525,0.27837,0.091985,0.10612
1.9,0.531442,0.267441,0.090085,0.111032
2.0,0.538997,0.258611,0.086905,0.115487
2.1,0.547309,0.24676,0.086058,0.119872
2.2,0.555234,0.236266,0.084759,0.123741
2.3,0.563854,0.223778,0.083361,0.129007
2.4,0.571908,0.212799,0.080839,0.134454
2.5,0.580017,0.19981,0.078135,0.142039
2.6,0.586189,0.187644,0.078463,0.147704
2.7,0.592955,0.174981,0.078962,0.153102
2.8,0.595615,0.163464,0.076848,0.164073
2.9,0.598762,0.152656,0.073644,0.174938
3.0,0.602374,0.143357,0.070788,0.183481
3.1,0.602591,0.134254,0.069052,0.194103
3.2,0.606371,0.123794,0.068687,0.201148
3.3,0.607769,0.115692,0.066941,0.209598
3.4,0.609499,0.108678,0.064176,0.217646
3.5,0.614205,0.100795,0.061333,0.223667
3.6,0.615384,0.094707,0.059727,0.230182
3.7,0.613349,0.087657,0.05837,0.240625
3.8,0.612935,0.082195,0.056087,0.248783
3.9,0.612566,0.07755,0.053561,0.256323
4.0,0.612697,0.073208,0.050902,0.263193
4.1,0.611248,0.069,0.048621,0.271131
4.2,0.610584,0.064264,0.045983,0.279168
4.3,0.609044,0.061914,0.042613,0.286429
4.4,0.607731,0.058801,0.03992,0.293549
4.5,0.608284,0.055719,0.039096,0.296901
4.6,0.608887,0.053432,0.035761,0.30192
4.7,0.609002,0.049866,0.033527,0.307605
4.8,0.609996,0.045706,0.031697,0.312601
4.9,0.610437,0.042714,0.02921,0.317639
5.0,0.609239,0.041818,0.02698,0.321963
5.1,0.608793,0.039202,0.025319,0.326687
5.2,0.607036,0.036521,0.02373,0.332713
5.3,0.609908,0.033798,0.022229,0.334064
5.4,0.610067,0.03205,0.020966,0.336917
5.5,0.608744,0.031113,0.020267,0.339876
5.6,0.608682,0.030457,0.020244,0.340618
5.7,0.607886,0.028805,0.01922,0.344089
5.8,0.606294,0.027554,0.018329,0.347823
5.9,0.605516,0.026325,0.017865,0.350294
6.0,0.605245,0.0251,0.017318,0.352337
6.1,0.60561,0.024693,0.016528,0.35317
6.2,0.607007,0.022923,0.016118,0.353952
6.3,0.603995,0.022411,0.01551,0.358084
6.4,0.602634,0.021918,0.014867,0.360581
