,<nil>,Metastasis,Metastasis -- Proliferation,Proliferation
13.2,0.0882,0.1564,0.5692,0.1862
13.3,0.0882,0.156596,0.569162,0.186042
13.4,0.0882,0.1566,0.5692,0.186
13.5,0.0882,0.156727,0.569073,0.186
13.6,0.088267,0.156747,0.569,0.185986
13.7,0.088731,0.156469,0.569,0.1858
13.8,0.089091,0.156109,0.569,0.1858
13.9,0.0892,0.156,0.569,0.1858
14.0,0.0892,0.156,0.569,0.1858
14.1,0.089305,0.156,0.569,0.185695
14.2,0.0892,0.156,0.569,0.1858
14.3,0.0892,0.156171,0.568829,0.1858
14.4,0.0892,0.1562,0.5688,0.1858
14.5,0.08903,0.1562,0.5688,0.18597
14.6,0.089,0.156,0.569,0.186
14.7,0.089,0.156119,0.568881,0.186
14.8,0.089,0.1562,0.5688,0.186
14.9,0.089191,0.156009,0.5688,0.186
15.0,0.0892,0.156,0.5688,0.186
15.1,0.0892,0.156,0.5688,0.186
15.2,0.0892,0.156,0.5688,0.186
15.3,0.0892,0.156026,0.568774,0.186
15.4,0.0892,0.1562,0.5686,0.186
15.5,0.0892,0.1562,0.5686,0.186
15.6,0.0892,0.1562,0.5686,0.186
15.7,0.089337,0.156063,0.5686,0.186
15.8,0.0894,0.156,0.5686,0.186
15.9,0.0894,0.156,0.5686,0.186
16.0,0.0894,0.156147,0.568453,0.186
16.1,0.0894,0.156304,0.568296,0.186
16.2,0.0894,0.1564,0.5682,0.186
16.3,0.0894,0.1564,0.5682,0.186
16.4,0.0894,0.1564,0.5682,0.186
16.5,0.0894,0.1564,0.5682,0.186
16.6,0.0894,0.1564,0.5682,0.186
16.7,0.089204,0.1564,0.5682,0.186196
16.8,0.0892,0.1564,0.5682,0.1862
16.9,0.0892,0.1564,0.5682,0.1862
17.0,0.0892,0.1564,0.5682,0.1862
17.1,0.0892,0.156462,0.568138,0.1862
17.2,0.0892,0.1566,0.568,0.1862
17.3,0.0892,0.1566,0.568,0.1862
17.4,0.0892,0.1566,0.568,0.1862
17.5,0.0892,0.1566,0.568,0.1862
17.6,0.0892,0.1566,0.568,0.1862
17.7,0.0892,0.156679,0.567921,0.1862
17.8,0.0892,0.156979,0.567457,0.186364
17.9,0.0892,0.157,0.5674,0.1864
18.0,0.0892,0.157,0.5674,0.1864
18.1,0.0892,0.157,0.5674,0.1864
18.2,0.0892,0.157163,0.567237,0.1864
18.3,0.0892,0.15721,0.56719,0.1864
18.4,0.089221,0.1574,0.567,0.186379
18.5,0.089524,0.157276,0.567,0.1862
18.6,0.0896,0.1572,0.567,0.1862
18.7,0.0896,0.157348,0.566852,0.1862
18.8,0.0896,0.1574,0.5668,0.1862
18.9,0.089746,0.157422,0.566631,0.1862
19.0,0.0898,0.1574,0.5666,0.1862
19.1,0.0898,0.1574,0.5666,0.1862
19.2,0.0898,0.1574,0.5666,0.1862
19.3,0.0898,0.1574,0.5666,0.1862
19.4,0.0898,0.1574,0.5666,0.1862
19.5,0.0898,0.157595,0.566405,0.1862
19.6,0.0898,0.157764,0.566236,0.1862
19.7,0.0898,0.1578,0.5662,0.1862
19.8,0.0898,0.157815,0.566185,0.1862
19.9,0.0898,0.158,0.566,0.1862
20.0,0.0898,0.158,0.565863,0.186337
20.1,0.0898,0.158,0.5658,0.1864
20.2,0.0898,0.158,0.5658,0.1864
20.3,0.090112,0.157775,0.5658,0.186313
20.4,0.090498,0.157502,0.5658,0.1862
20.5,0.0906,0.1574,0.5658,0.1862
20.6,0.0906,0.157582,0.565618,0.1862
20.7,0.090688,0.157512,0.5656,0.1862
20.8,0.090801,0.1574,0.5656,0.186199
20.9,0.091,0.1574,0.5656,0.186
21.0,0.091,0.1574,0.5656,0.186
21.1,0.091,0.1574,0.5656,0.186
21.2,0.091,0.1574,0.565548,0.186052
21.3,0.09103,0.1574,0.5654,0.18617
21.4,0.091237,0.157568,0.565232,0.185963
21.5,0.0914,0.1576,0.5652,0.1858
21.6,0.0914,0.1576,0.5652,0.1858
21.7,0.0914,0.1576,0.5652,0.1858
21.8,0.0914,0.1576,0.5652,0.1858
21.9,0.091472,0.157528,0.5652,0.1858
22.0,0.0916,0.1574,0.5652,0.1858
22.1,0.0916,0.157414,0.565186,0.1858
22.2,0.091605,0.157595,0.565,0.1858
22.3,0.0918,0.1574,0.565,0.1858
22.4,0.0918,0.1574,0.565,0.1858
22.5,0.09186,0.15734,0.565,0.1858
22.6,0.092,0.1572,0.565,0.1858
22.7,0.092,0.1572,0.565,0.1858
22.8,0.092,0.1572,0.565,0.1858
22.9,0.092,0.1572,0.565,0.1858
23.0,0.092,0.157246,0.564954,0.1858
23.1,0.092,0.157438,0.564762,0.1858
23.2,0.092,0.1576,0.5646,0.1858
23.3,0.092,0.1576,0.5646,0.1858
23.4,0.092,0.1576,0.5646,0.1858
23.5,0.091842,0.1576,0.5646,0.185958
23.6,0.0918,0.1576,0.5646,0.186
23.7,0.0918,0.157723,0.564477,0.186
23.8,0.0918,0.1578,0.5644,0.186
23.9,0.0918,0.1578,0.5644,0.186
24.0,0.0918,0.1578,0.5644,0.186
24.1,0.0918,0.1578,0.5644,0.186
24.2,0.0918,0.1578,0.5644,0.186
24.3,0.0918,0.1578,0.5644,0.186
24.4,0.0918,0.1578,0.5644,0.186
24.5,0.0918,0.1578,0.5644,0.186
24.6,0.0918,0.1578,0.5644,0.186
24.7,0.0918,0.1578,0.5644,0.186
24.8,0.0918,0.1578,0.5644,0.186
24.9,0.0918,0.1578,0.5644,0.186
25.0,0.0918,0.1578,0.5644,0.186
25.1,0.0918,0.1578,0.5644,0.186
25.2,0.09183,0.15777,0.5644,0.186
25.3,0.092,0.1576,0.5644,0.186
25.4,0.092,0.157696,0.564304,0.186
25.5,0.092,0.1578,0.5642,0.186
25.6,0.092,0.15795,0.56405,0.186
25.7,0.092079,0.158012,0.56391,0.186
25.8,0.0922,0.158,0.5638,0.186
25.9,0.092257,0.158015,0.563727,0.186
26.0,0.092329,0.158,0.563333,0.186338
26.1,0.0922,0.158,0.5632,0.1866
26.2,0.092331,0.1579,0.563169,0.1866
26.3,0.092496,0.158,0.563,0.186504
26.4,0.0926,0.158,0.563,0.1864
26.5,0.0926,0.158,0.563,0.1864
26.6,0.0926,0.15817,0.56283,0.1864
26.7,0.0926,0.158306,0.562694,0.1864
26.8,0.0926,0.158552,0.562448,0.1864
26.9,0.092784,0.1586,0.5624,0.186216
27.0,0.0928,0.1586,0.5624,0.1862
27.1,0.0928,0.158715,0.562285,0.1862
27.2,0.0928,0.1588,0.5622,0.1862
27.3,0.0928,0.1588,0.5622,0.1862
27.4,0.0928,0.158903,0.562097,0.1862
27.5,0.0928,0.159,0.562,0.1862
27.6,0.0928,0.159,0.562,0.1862
27.7,0.0928,0.159,0.562,0.1862
27.8,0.092989,0.158811,0.562,0.1862
27.9,0.093,0.1588,0.562,0.1862
28.0,0.093138,0.1588,0.562,0.186062
28.1,0.0932,0.1588,0.562,0.186
28.2,0.0932,0.1588,0.562,0.186
28.3,0.0932,0.159108,0.561692,0.186
28.4,0.0932,0.1592,0.5616,0.186
28.5,0.0932,0.1592,0.5616,0.186
28.6,0.0932,0.1592,0.5616,0.186
28.7,0.0932,0.159333,0.561467,0.186
28.8,0.0932,0.1598,0.561,0.186
28.9,0.0932,0.1598,0.561,0.186
29.0,0.093233,0.159767,0.561,0.186
29.1,0.0934,0.159626,0.560974,0.186
29.2,0.0934,0.1598,0.560754,0.186046
29.3,0.0934,0.159632,0.560768,0.1862
29.4,0.0934,0.1596,0.5608,0.1862
29.5,0.093548,0.1596,0.5608,0.186052
29.6,0.0938,0.1596,0.5608,0.1858
29.7,0.0938,0.1596,0.5608,0.1858
29.8,0.0938,0.1596,0.5608,0.1858
